iter	RMSE
287	109036.5307
288	109034.9319
289	109022.6909
290	109021.1084
291	109019.5341
292	109017.9708
293	109016.417
294	109014.8732
295	109013.3377
296	109011.8112
297	109010.2934
298	109008.7842
299	109007.2833
300	109005.7907
301	109004.3054
302	109002.8289
303	109001.361
304	108999.8993
305	108998.446
306	108997.0001
307	108995.5612
308	108994.1303
309	108992.7068
310	108991.2906
311	108981.5555
312	108980.1526
313	108978.757
314	108977.4124
315	108976.031
316	108974.6561
317	108973.288
318	108971.9705
319	108970.6596
320	108969.3115
321	108968.0136
322	108966.6786
323	108965.3928
324	108964.1141
325	108962.8418
326	108961.5322
327	108960.2716
328	108959.0179
329	108957.6121
330	108956.3699
331	108955.1346
332	108953.9053
333	108952.6819
334	108951.4646
335	108950.2531
336	108949.0476
337	108947.8479
338	108946.6533
339	108945.4197
340	108944.2372
341	108943.0607
342	108941.8858
343	108940.7169
344	108939.5574
345	108938.4031
346	108937.2546
347	108936.1118
348	108934.9311
349	108933.7992
350	108932.6728
351	108931.5511
352	108930.4332
353	108929.3229
354	107650.68
355	107432.7127
356	107431.5549
357	106185.8926
358	106178.2102
359	104958.7689
360	103765.8672
361	102599.6184
362	101458.9776
363	100343.498
364	99935.07074
365	99845.69977
366	99521.02131
367	99190.67465
368	98834.46568
369	98528.88203
370	98178.17615
371	98088.98095
372	98000.53838
373	97701.12404
374	97372.23848
375	97284.24177
376	97196.90802
377	96165.96093
378	95548.46189
379	94939.47811
380	94902.33354
381	94301.72856
382	94214.62011
383	94178.23824
384	93585.73027
385	93499.33496
386	92914.96303
387	92616.3163
388	92530.3445
389	92444.99567
390	91872.45417
391	91787.57443
392	91222.87423
393	90666.06195
394	90581.49357
395	90497.50576
396	89948.20532
397	89406.61135
398	89143.9771
399	89060.0434
400	88529.76178
401	88446.2441
402	87923.30652
403	87840.19399
404	87324.51372
405	87288.24413
406	86779.74733
407	86697.07059
408	86195.66305
409	85701.40757
410	85214.22163
411	85131.63354
412	84651.28747
413	84569.0741
414	84487.37592
415	84465.64335
416	84384.50743
417	83910.60548
418	83829.82122
